age;job;marital;education;contact;term_deposit;balance;Cluster_Prediction
58;management;married;tertiary;unknown;no;2143;3
44;technician;single;secondary;unknown;no;29;0
33;entrepreneur;married;secondary;unknown;no;2;0
47;blue-collar;married;unknown;unknown;no;1506;0
33;unknown;single;unknown;unknown;no;1;0
35;management;married;tertiary;unknown;no;231;0
28;management;single;tertiary;unknown;no;447;0
42;entrepreneur;divorced;tertiary;unknown;no;2;0
58;retired;married;primary;unknown;no;121;0
43;technician;single;secondary;unknown;no;593;0
41;admin.;divorced;secondary;unknown;no;270;0
29;admin.;single;secondary;unknown;no;390;0
53;technician;married;secondary;unknown;no;6;0
58;technician;married;unknown;unknown;no;71;0
57;services;married;secondary;unknown;no;162;0
51;retired;married;primary;unknown;no;229;0
45;admin.;single;unknown;unknown;no;13;0
57;blue-collar;married;primary;unknown;no;52;0
60;retired;married;primary;unknown;no;60;0
33;services;married;secondary;unknown;no;0;0
28;blue-collar;married;secondary;unknown;no;723;0
56;management;married;tertiary;unknown;no;779;0
32;blue-collar;single;primary;unknown;no;23;0
25;services;married;secondary;unknown;no;50;0
40;retired;married;primary;unknown;no;0;0
44;admin.;married;secondary;unknown;no;-372;0
39;management;single;tertiary;unknown;no;255;0
52;entrepreneur;married;secondary;unknown;no;113;0
46;management;single;secondary;unknown;no;-246;0
36;technician;single;secondary;unknown;no;265;0
57;technician;married;secondary;unknown;no;839;0
49;management;married;tertiary;unknown;no;378;0
60;admin.;married;secondary;unknown;no;39;0
59;blue-collar;married;secondary;unknown;no;0;0
51;management;married;tertiary;unknown;no;10635;1
57;technician;divorced;secondary;unknown;no;63;0
25;blue-collar;married;secondary;unknown;no;-7;0
53;technician;married;secondary;unknown;no;-3;0
36;admin.;divorced;secondary;unknown;no;506;0
37;admin.;single;secondary;unknown;no;0;0
44;services;divorced;secondary;unknown;no;2586;3
50;management;married;secondary;unknown;no;49;0
60;blue-collar;married;unknown;unknown;no;104;0
54;retired;married;secondary;unknown;no;529;0
58;retired;married;unknown;unknown;no;96;0
36;admin.;single;primary;unknown;no;-171;0
58;self-employed;married;tertiary;unknown;no;-364;0
44;technician;married;secondary;unknown;no;0;0
55;technician;divorced;secondary;unknown;no;0;0
29;management;single;tertiary;unknown;no;0;0
54;blue-collar;married;secondary;unknown;no;1291;0
48;management;divorced;tertiary;unknown;no;-244;0
32;management;married;tertiary;unknown;no;0;0
42;admin.;single;secondary;unknown;no;-76;0
24;technician;single;secondary;unknown;no;-103;0
38;entrepreneur;single;tertiary;unknown;no;243;0
38;management;single;tertiary;unknown;no;424;0
47;blue-collar;married;unknown;unknown;no;306;0
40;blue-collar;single;unknown;unknown;no;24;0
46;services;married;primary;unknown;no;179;0
32;admin.;married;tertiary;unknown;no;0;0
53;technician;divorced;secondary;unknown;no;989;0
57;blue-collar;married;primary;unknown;no;249;0
33;services;married;secondary;unknown;no;790;0
49;blue-collar;married;unknown;unknown;no;154;0
51;management;married;tertiary;unknown;no;6530;1
60;retired;married;tertiary;unknown;no;100;0
59;management;divorced;tertiary;unknown;no;59;0
55;technician;married;secondary;unknown;no;1205;0
35;blue-collar;single;secondary;unknown;no;12223;1
57;blue-collar;married;secondary;unknown;no;5935;3
31;services;married;secondary;unknown;no;25;0
54;management;married;secondary;unknown;no;282;0
55;blue-collar;married;primary;unknown;no;23;0
43;technician;married;secondary;unknown;no;1937;3
53;technician;married;secondary;unknown;no;384;0
44;blue-collar;married;secondary;unknown;no;582;0
55;services;divorced;secondary;unknown;no;91;0
49;services;divorced;secondary;unknown;no;0;0
55;services;divorced;secondary;unknown;no;1;0
45;admin.;single;secondary;unknown;no;206;0
47;services;divorced;secondary;unknown;no;164;0
42;technician;single;secondary;unknown;no;690;0
59;admin.;married;secondary;unknown;yes;2343;3
46;self-employed;married;tertiary;unknown;no;137;0
51;blue-collar;married;primary;unknown;no;173;0
